时刻（s）    	纬度(°)     	经度(°)        椭球高（m）  	航向方位角(°)  东速度(m/s)    北速度(m/s) 上升速度(m/s)
23548.00117 	40.8439446 	109.5078536 	3272.142 	283.600 	-52.516 	13.444 	-0.150 
23549.00106 	40.8440650 	109.5072310 	3272.058 	283.761 	-52.509 	13.312 	0.174 
23550.00094 	40.8441850 	109.5066091 	3272.262 	283.888 	-52.454 	13.373 	0.117 
23550.01094 	40.8441862 	109.5066029 	3272.263 	283.888 	-52.459 	13.366 	0.113 
23550.01594 	40.8441868 	109.5065998 	3272.264 	283.888 	-52.458 	13.370 	0.112 
23551.00082 	40.8443052 	109.5059874 	3272.303 	283.693 	-52.447 	13.329 	0.101 
23551.99571 	40.8444243 	109.5053692 	3272.433 	283.466 	-52.447 	13.236 	0.096 
23553.00059 	40.8445433 	109.5047448 	3272.617 	283.525 	-52.381 	13.158 	0.261 
23555.00035 	40.8447822 	109.5035046 	3273.039 	283.727 	-52.228 	13.446 	0.212 
23556.00024 	40.8449037 	109.5028859 	3273.176 	283.860 	-52.178 	13.505 	0.171 
23557.00012 	40.8450253 	109.5022679 	3273.326 	284.010 	-52.124 	13.554 	0.036 
23558.00000 	40.8451474 	109.5016500 	3273.201 	283.953 	-52.157 	13.547 	-0.190 
23558.99989 	40.8452690 	109.5010318 	3273.122 	283.983 	-52.142 	13.485 	0.103 
23559.99977 	40.8453906 	109.5004142 	3273.296 	283.792 	-52.092 	13.553 	0.187 
23560.99965 	40.8455131 	109.4997970 	3273.419 	283.756 	-52.071 	13.607 	0.210 
23561.99953 	40.8456354 	109.4991807 	3273.838 	284.135 	-51.953 	13.609 	0.504 
23562.99942 	40.8457584 	109.4985655 	3274.250 	284.258 	-51.880 	13.710 	0.320 
23564.00430 	40.8458829 	109.4979479 	3274.485 	284.192 	-51.823 	13.831 	0.157 
23564.99918 	40.8460069 	109.4973372 	3274.655 	284.389 	-51.779 	13.856 	0.201 
23566.99895 	40.8462585 	109.4961114 	3274.970 	284.491 	-51.668 	14.103 	0.092 
23568.00383 	40.8463862 	109.4954959 	3275.010 	284.737 	-51.712 	14.111 	0.011 
23569.00371 	40.8465132 	109.4948835 	3275.177 	284.526 	-51.656 	14.174 	0.148 
23569.99860 	40.8466400 	109.4942741 	3275.264 	284.380 	-51.692 	14.101 	0.115 
23570.99848 	40.8467660 	109.4936615 	3275.463 	284.509 	-51.688 	13.938 	0.254 
23572.00336 	40.8468913 	109.4930454 	3275.588 	284.507 	-51.775 	13.755 	-0.007 
23572.99825 	40.8470141 	109.4924347 	3275.497 	284.091 	-51.814 	13.729 	-0.227 
561111
23575.00301 	40.8472622 	109.4912013 	3274.828 	284.164 	-51.964 	13.827 	-0.237 
23575.99789 	40.8473863 	109.4905884 	3274.742 	284.692 	-51.968 	13.933 	0.146 
23577.00278 	40.8475133 	109.4899701 	3275.083 	284.527 	-51.883 	14.137 	0.380 
23579.00254 	40.8477683 	109.4887412 	3276.099 	285.042 	-51.759 	14.179 	0.828 
23579.49748 	40.8478316 	109.4884377 	3276.499 	284.964 	-51.733 	14.235 	0.737 
23580.00242 	40.8478963 	109.4881282 	3276.847 	284.762 	-51.696 	14.281 	0.678 
23580.49737 	40.8479600 	109.4878250 	3277.174 	284.543 	-51.665 	14.315 	0.634 
23581.49225 	40.8480881 	109.4872159 	3277.759 	284.644 	-51.661 	14.255 	0.597 
23581.49725 	40.8480887 	109.4872128 	3277.762 	284.646 	-51.662 	14.248 	0.602 
23581.50225 	40.8480893 	109.4872098 	3277.765 	284.648 	-51.659 	14.248 	0.599 
23581.50725 	40.8480900 	109.4872067 	3277.768 	284.651 	-51.658 	14.253 	0.599 
23582.00219 	40.8481533 	109.4869038 	3278.108 	284.896 	-51.620 	14.192 	0.766 
23582.93208 	40.8482719 	109.4863351 	3278.843 	284.907 	-51.576 	14.171 	0.732 
23582.93708 	40.8482725 	109.4863320 	3278.846 	284.905 	-51.578 	14.169 	0.734 
23582.94208 	40.8482732 	109.4863290 	3278.850 	284.902 	-51.580 	14.167 	0.738 
23582.94708 	40.8482738 	109.4863259 	3278.854 	284.900 	-51.578 	14.172 	0.733 
23582.95208 	40.8482744 	109.4863229 	3278.857 	284.898 	-51.578 	14.170 	0.729 
23582.95708 	40.8482751 	109.4863198 	3278.861 	284.896 	-51.578 	14.169 	0.727 
23582.96208 	40.8482757 	109.4863168 		 	284.894 	-51.576 	14.175 	0.729 
23582.96708 	40.8482764 	109.4863137 	3278.868 	284.891 	-51.573 	14.174 	0.732 
23582.97208 	40.8482770 	109.4863106 	3278.872 	284.889 	-51.578 	14.168 	0.731 
23582.97708 	40.8482776 	109.4863076 	3278.876 	284.887 	-51.580 	14.171 	0.726 
23582.98208 	40.8482783 	109.4863045 	3278.879 	284.885 	-51.576 	14.174 	0.726 
23582.98708 	40.8482789 	109.4863015 	3278.883 	284.882 	-51.574 	14.175 	0.723 
23582.99207 	40.8482795 	109.4862984 	3278.887 	284.880 	-51.578 	14.170 	0.723 
23582.99707 	40.8482802 	109.4862954 	3278.890 	284.877 	-51.574 	14.172 	0.720 
23583.00207 	40.8482808 	109.4862923 	3278.894 	284.875 	-51.574 	14.177 	0.718 
